Bathing Water,Lat,Long,Water Company ,Classification
Clevedon Beach,51.44224,-2.86146,Wessex Water Services Limited,Good
Cleveleys,53.8813176293953,-3.04810034853083,United Utilities Water Limited,Good
Colwell Bay,50.6894777728459,-1.5384702684968,Southern Water Services Limited,Excellent
Colwick Country Park (West Lake),52.9451435484652,-1.09815737913614,Severn Trent Water Limited,Excellent
Combe Martin,51.2073242902331,-4.03817464897342,South West Water Limited,Sufficient
"Combesgate Beach, Woolacombe",51.1782564135866,-4.21244811030368,South West Water Limited,Excellent
Compton Bay,50.6560855499202,-1.46831923617904,Southern Water Services Limited,Excellent
Constantine Bay,50.533251504212,-5.02266055940275,South West Water Limited,Excellent
Cotswold Country Park and Beach,51.6609853223097,-1.96093036014707,Thames Water Utilities Limited,Excellent
Coverack,50.024381672247,-5.09711731719632,South West Water Limited,Excellent
Cowes,50.7678515410396,-1.30938364395512,Southern Water Services Limited,Excellent
Crackington Haven,50.7419364618183,-4.633780918544,South West Water Limited,Excellent
Crantock,50.4068339291915,-5.11918706120216,South West Water Limited,Good
Crimdon,54.728078401518,-1.24873218512617,Northumbrian Water Limited,Good
Crinnis Beach,50.3361204799296,-4.73381042662777,South West Water Limited,Excellent
Cromer,52.9325124160505,1.30216261138879,Anglian Water Services Limited,Excellent
Crooklets,50.835814903174,-4.55398560359646,South West Water Limited,Excellent
Croyde Bay,51.1315339064881,-4.2385145390611,South West Water Limited,Good
"Danes Dyke, Flamborough",54.1040387873291,-0.141861015595605,Yorkshire Water Services Limited,Excellent
Dartmouth Castle and Sugary Cove,50.3420804667083,-3.56549282824257,South West Water Limited,Excellent
Dawlish Coryton Cove,50.5748417973404,-3.46854598688217,South West Water Limited,Excellent
Dawlish Town,50.5808755605953,-3.46368056448373,South West Water Limited,Good
Dawlish Warren,50.5996735928448,-3.43893853887074,South West Water Limited,Excellent
Daymer Bay,50.5613477998629,-4.92645433304806,South West Water Limited,Excellent
Deal Castle,51.2248658248295,1.40488530923027,Southern Water Services Limited,Good
Dovercourt,51.9287145174992,1.27365363707728,Anglian Water Services Limited,Excellent
Downderry,50.3610043414486,-4.37077575632986,South West Water Limited,Excellent
Druridge Bay North,55.2911145717199,-1.56853575551603,Northumbrian Water Limited,Excellent
Druridge Bay South,55.2402551088777,-1.54392384292723,Northumbrian Water Limited,Excellent
Dunster Beach,51.1922412977689,-3.42687262380409,Wessex Water Services Limited,Sufficient
Duporth,50.3274519056748,-4.7618374566786,South West Water Limited,Excellent
Durdle Door East,50.6220094769958,-2.27415859053492,Wessex Water Services Limited,Excellent
Durdle Door West,50.6219484895418,-2.27712684482216,Wessex Water Services Limited,Excellent
Dymchurch,51.0246230758988,0.996565672336776,Southern Water Services Limited,Good
East Cowes,50.76477,-1.28329,Southern Water Services Limited,#N/A
East Looe,50.3525841676456,-4.45147295019057,South West Water Limited,Good
East Runton,52.9370619292274,1.27595332448127,Anglian Water Services Limited,Excellent
Eastbourne,50.7609618329818,0.287079793834733,Southern Water Services Limited,Good
Eastney,50.7846394489991,-1.04514441363308,Southern Water Services Limited,Excellent
Eastoke,50.7806135959537,-0.967353980067141,Southern Water Services Limited,Excellent
Exmouth,50.6110998013266,-3.4016913116056,South West Water Limited,Excellent
Eypemouth,50.7161089362555,-2.78488967571793,Wessex Water Services Limited,Excellent
Felixstowe North,51.9603405905382,1.35498582937495,Anglian Water Services Limited,Excellent
Felixstowe South,51.9543304067933,1.34146436108153,Anglian Water Services Limited,Excellent
Felpham,50.7863058760123,-0.652576069939417,Southern Water Services Limited,Good
Filey,54.2082372558266,-0.284226456988846,Yorkshire Water Services Limited,Good
Fistral North,50.4177321832166,-5.09850302983969,South West Water Limited,Excellent
