Bathing Water,Lat,Long,Water Company ,Classification
Southwold The Denes,52.3193619673795,1.67861883167939,Anglian Water Services Limited,Good
Southwold The Pier,52.3307965572847,1.68690961295553,Anglian Water Services Limited,Excellent
Spittal,55.7568683458198,-1.9888393795735,Northumbrian Water Limited,Excellent
St Annes,53.7491,-3.0404,United Utilities Water Limited,Good
St Annes North,53.759717295224,-3.05087821759494,United Utilities Water Limited,Sufficient
St Bees,54.4899256268899,-3.60858868965697,United Utilities Water Limited,Excellent
St Helens,50.6986076666254,-1.09864525630914,Southern Water Services Limited,Excellent
St Leonards,50.8499165351249,0.551426690368772,Southern Water Services Limited,Excellent
St Margaret`s Bay,51.1506270756334,1.38569756652105,Southern Water Services Limited,Excellent
St Mary's Bay (Devon),50.3852581354791,-3.50361446794103,South West Water Limited,Excellent
St Mary's Bay (Kent),51.0105977658964,0.982258544095358,Southern Water Services Limited,Sufficient
"St Mildred's Bay, Westgate",51.3848922879526,1.34272601331783,Southern Water Services Limited,Excellent
Staithes,54.558632956451,-0.789035905603602,Yorkshire Water Services Limited,#N/A
Stokes Bay,50.7775935012207,-1.15038699711023,Southern Water Services Limited,Excellent
Studland Knoll House,50.6520985551084,-1.95285461153164,Wessex Water Services Limited,Excellent
Summerleaze,50.8311807246575,-4.55202825641337,South West Water Limited,Excellent
Sutton-on-Sea,53.3145880700532,0.283819713023732,Anglian Water Services Limited,Excellent
Swanage Central,50.6134402645265,-1.95752882593927,Wessex Water Services Limited,Excellent
Swanpool,50.1406373490229,-5.07579001240729,South West Water Limited,Excellent
Tankerton,51.3654432940843,1.04578516539971,Southern Water Services Limited,Excellent
Teignmouth Holcombe,50.5619041154044,-3.47463850962763,South West Water Limited,Excellent
Teignmouth Town,50.5453859284211,-3.49345952739525,South West Water Limited,Excellent
The Serpentine - Hyde Park,51.5049137923283,-0.169107214526447,Thames Water Utilities Limited,Sufficient
Thurlestone North,50.2639597894144,-3.8617921920091,South West Water Limited,Excellent
Thurlestone South,50.2604204594602,-3.8581465942212,South West Water Limited,Excellent
Tolcarne,50.4176780168458,-5.07343859800726,South West Water Limited,Excellent
Torre Abbey,50.4624599354331,-3.53598815062672,South West Water Limited,Excellent
Totland Bay,50.6808370676852,-1.54568856715085,Southern Water Services Limited,Excellent
Towan,50.4182930793456,-5.08417872138159,South West Water Limited,Excellent
Trebarwith Strand,50.6449814824378,-4.76160973193857,South West Water Limited,Good
Tregonhawke,50.3408694024974,-4.24284841768198,South West Water Limited,Excellent
Trevaunance Cove,50.3204028346129,-5.2011963562627,South West Water Limited,Excellent
Trevone Bay,50.5457518185687,-4.97743858812327,South West Water Limited,Excellent
Treyarnon Bay,50.5261459739228,-5.02262948465841,South West Water Limited,Excellent
Tynemouth Cullercoats,55.0347813635908,-1.43102643087106,Northumbrian Water Limited,Poor
Tynemouth King Edwards Bay,55.0193221136079,-1.41899913650401,Northumbrian Water Limited,Excellent
Tynemouth Long Sands North,55.0304210257448,-1.4286789481503,Northumbrian Water Limited,Excellent
Tynemouth Long Sands South,55.024078226215,-1.42327882219309,Northumbrian Water Limited,Excellent
Upton Towans,50.2151901369931,-5.4028607650972,South West Water Limited,Excellent
Vault Beach,50.2349042272139,-4.78761701530411,South West Water Limited,Excellent
Ventnor,50.5931272563416,-1.2099676835851,Southern Water Services Limited,Excellent
Wallasey,53.4335785280341,-3.07728292148699,United Utilities Water Limited,Good
Walney Biggar Bank,54.0950168013411,-3.25838129442648,United Utilities Water Limited,Excellent
Walney Sandy Gap,54.1021569927356,-3.26318566673305,United Utilities Water Limited,Excellent
Walney West Shore,54.120782261168,-3.2716311703482,United Utilities Water Limited,Excellent
"Walpole Bay, Margate",51.3922553681592,1.39909205384006,Southern Water Services Limited,Excellent
Walton,51.8470573070425,1.27323924082661,Anglian Water Services Limited,Good
Warkworth,55.3512136840278,-1.59280027513502,Northumbrian Water Limited,Excellent
Watergate Bay,50.4437670324647,-5.04258913278166,South West Water Limited,Excellent
Wells,52.973582594339,0.849053394593845,Anglian Water Services Limited,Sufficient
Wembury,50.3179995357829,-4.08514969835292,South West Water Limited,Excellent
West Bay (West),50.7109881993129,-2.76654773414885,Wessex Water Services Limited,Excellent
"West Bay, Westgate",51.3832025571345,1.33226728524173,Southern Water Services Limited,Excellent
"West Beach, Whitstable",51.3543349703393,1.01172153066364,Southern Water Services Limited,Good
West Kirby,53.3704789298207,-3.19316576553089,United Utilities Water Limited,Excellent
West Mersea,51.7703990868537,0.930194910705001,Anglian Water Services Limited,Good
West Runton,52.9416822075366,1.25276663199985,Anglian Water Services Limited,Excellent
West Wittering,50.776514594016,-0.912129642146413,Southern Water Services Limited,Excellent
"Westbrook Bay, Margate",51.3861428860402,1.36313023717547,Southern Water Services Limited,Excellent
Weston Main,51.3412612902028,-2.98338221074795,Wessex Water Services Limited,Poor
Weston-super-Mare Sand Bay,51.3644875606138,-2.96609706624921,Wessex Water Services Limited,Sufficient
Weston-super-Mare Uphill Slipway,51.3247204685577,-2.99031890971833,Wessex Water Services Limited,Sufficient
Westward Ho!,51.0437749741397,-4.23616288248315,South West Water Limited,Excellent
Weymouth Central,50.6144663711725,-2.45224570274321,Wessex Water Services Limited,Excellent
Weymouth Lodmoor,50.6258900329473,-2.44217637595214,Wessex Water Services Limited,Excellent
"Wharfe at Cromwheel, Ilkley",53.9319,-1.8162,Yorkshire Water Services Limited,Poor
Wherry Town,50.1089269853027,-5.5448462256399,South West Water Limited,Good
Whitby,54.4916967106725,-0.624582898103651,Yorkshire Water Services Limited,Excellent
Whitecliff Bay,50.6719546786527,-1.09427330030781,Southern Water Services Limited,Excellent
Whitley Bay,55.0488919996071,-1.44514764351662,Northumbrian Water Limited,Excellent
Widemouth Sand,50.7931022337454,-4.55761549184591,South West Water Limited,Excellent
Wilsthorpe,54.0662199286341,-0.207488045320685,Yorkshire Water Services Limited,Good
Winchelsea,50.9064145037592,0.718105662124692,Southern Water Services Limited,Excellent
"Windermere, Fellfoot",54.274516938995,-2.95378173858218,United Utilities Water Limited,Excellent
"Windermere, Lakeside YMCA",54.3003949508162,-2.9614629622469,United Utilities Water Limited,Excellent
"Windermere, Millerground Landing",54.3807,-2.9225,United Utilities Water Limited,Excellent
"Windermere, Rayrigg Meadow",54.3781537315643,-2.92249644240972,United Utilities Water Limited,Excellent
Withernsea,53.7308197034631,0.0360078045744803,Yorkshire Water Services Limited,Good
Woolacombe Village,51.1716532720556,-4.20969992434162,South West Water Limited,Excellent
Worthing,50.8072781787131,-0.384860537691278,Southern Water Services Limited,Good
Yaverland,50.6618190039032,-1.13323510388486,Southern Water Services Limited,Excellent
