bb_site,permit_id,confident,bb_name
116108,S01072,0.41379312,TAYLORS LANE BOSHAM PS PUMPED
110701,A02509,0.51282054,TERMINUS ROAD COWES 2
109942,A00675,0.47619048,THE DUVER ST HELENS
109923,A01005,0.4347826,THE GREEN SOUTHWICK
109699,A00637,0.5151515,THE PARADE COWES
109938,A00699,0.3018868,THE POINT BEMBRIDGE
109665,A00222,0.45833334,THORLEY ROAD BOULDNOR
109961,A00833,0.36,TOWN QUAY ARUNDEL
109924,A01245,0.5714286,UPPER SHOREHAM ROAD SHOREHAM
109725,A00352,0.53333336,VILLAGE ROAD ALVERSTOKE
109619,A00771,0.3508772,WARDS HILL ROAD MINSTER IOS
109963,A01262,0.6315789,WATER LANE LITTLEHAMPTON
109825,A01272,0.39583334,WEST COMMON FAWLEY
109959,A00482,0.38297874,WEST PARK BOGNOR REGIS
109620,A00265,0.4915254,WESTCLIFFE DRIVE MINSTER IOS
111370,A01265,0.45,YORK ROAD BEXHILL
110097,A00726,Manual,SANDOWN NO2
110096,A00726,Manual,SANDOWN NO1
109652,A00847,Manual,WOODVALE TRANSFER NO1
109897,A01101,Manual - Maybe,RANGE ROAD HYTHE K LONG
109777,A00849,Manual,APPLEY PARK RYDE TRANSFER
115498,A00723,Manual,NORTON TRANSFER IOW
109732,W00131,Manual,PEEL COMMON
