edm_name,bathing_name,edm_name
"BOGNOR REGIS (ALDWICK), BOGNOR REGIS EAST, FELPHAM, PAGHAM",Bognor Regis (Aldwick),"BOGNOR REGIS (ALDWICK), BOGNOR REGIS EAST, FELPHAM, PAGHAM"
"BOGNOR REGIS (ALDWICK), BOGNOR REGIS EAST, PAGHAM",Bognor Regis (Aldwick),"BOGNOR REGIS (ALDWICK), BOGNOR REGIS EAST, PAGHAM"
BOGNOR REGIS EAST,Bognor Regis East,
Botany Bay,"Botany Bay, Broadstairs",Botany Bay
BOTANY BAYBAY MARGATE,"Botany Bay, Broadstairs",BOTANY BAYBAY MARGATE
BOTANY BAYBAY MARGATE,"Botany Bay, Broadstairs",BOTANY BAYBAY MARGATE
BOTANY BAYBAY MARGATE,"Botany Bay, Broadstairs",BOTANY BAYBAY MARGATE
BOURNEMOUTH BOSCOMBE PIER,Bournemouth Boscombe Pier,
BOURNEMOUTH FISHERMAN'S WALK,Bournemouth Fisherman`s Walk,BOURNEMOUTH FISHERMAN'S WALK
BOURNEMOUTH HENGISTBURY WEST,Bournemouth Hengistbury West,
BOURNEMOUTH PIER,Bournemouth Pier,
Breakwater Beach (Shoalstone),Breakwater Beach (Shoalstone),
Bridlington North Bay,Bridlington North Beach,
Bridlington North Beach,Bridlington North Beach,
Bridlington North Beach,Bridlington North Beach,
Bridlington North Beach,Bridlington North Beach,
"Bridlington South Bay",Bridlington South Beach,
Bridlington South Beach,Bridlington South Beach,
Bridlington South Beach,Bridlington South Beach,
Bridlington South Beach,Bridlington South Beach,
Bridlington South Beach,Bridlington South Beach,
Bridlington South Beach,Bridlington South Beach,
"BRIGHTON CENTRAL, BRIGHTON KEMPTOWN",Brighton Central,"BRIGHTON CENTRAL, BRIGHTON KEMPTOWN"
"BRIGHTON CENTRAL, BRIGHTON KEMPTOWN, HOVE",Brighton Central,"BRIGHTON CENTRAL, BRIGHTON KEMPTOWN, HOVE"
BUDLEIGH SALTERTON BEACH,Budleigh Salterton,BUDLEIGH SALTERTON BEACH
BUDLEIGH SALTERTON BEACH,Budleigh Salterton,BUDLEIGH SALTERTON BEACH
BUDLEIGH SALTERTON BEACH,Budleigh Salterton,BUDLEIGH SALTERTON BEACH
BUDLEIGH SALTERTON BEACH,Budleigh Salterton,BUDLEIGH SALTERTON BEACH
BUDLEIGH SALTERTON BEACH,Budleigh Salterton,BUDLEIGH SALTERTON BEACH
BUDLEIGH SALTERTON BEACH,Budleigh Salterton,BUDLEIGH SALTERTON BEACH
BUDLEIGH SALTERTON BEACH,Budleigh Salterton,BUDLEIGH SALTERTON BEACH
BUDLEIGH SALTERTON BEACH,Budleigh Salterton,BUDLEIGH SALTERTON BEACH
CALSHOT,Calshot,
CAMBER,Camber,
CARBIS BAY,Carbis Bay,
CAWSAND BAY,Cawsand,CAWSAND BAY
CHALLABOROUGH BEACH,Challaborough,CHALLABOROUGH BEACH
CHALLABOROUGH BEACH,Challaborough,CHALLABOROUGH BEACH
CHARLESTOWN BEACH,Charlestown,CHARLESTOWN BEACH
CHARLESTOWN BEACH,Charlestown,CHARLESTOWN BEACH
CHARMOUTH WEST,Charmouth West,
CHARMOUTH WEST,Charmouth West,
CHARMOUTH WEST,Charmouth West,
CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF,Christchurch Avon Beach,CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF
CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF,Christchurch Avon Beach,CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF
CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF,Christchurch Avon Beach,CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF
CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF,Christchurch Avon Beach,CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF
CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF,Christchurch Avon Beach,CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF
CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF,Christchurch Avon Beach,CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF
CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF**,Christchurch Avon Beach,CHRISTCHURCH AVON BEACH/CHRISTCHURCH FRIAR'S CLIFF**
CHRISTCHURCH BAY,Christchurch Bay,
CHRISTCHURCH BAY,Christchurch Bay,
"CHRISTCHURCH BAY, HIGHCLIFFE, MILFORD-ON-SEA",Christchurch Bay,"CHRISTCHURCH BAY, HIGHCLIFFE, MILFORD-ON-SEA"
CHURCH OPE COVE,Church Ope Cove,
"Clacton Groyne 41/Clacton Martello Tower","Clacton (Groyne 41)",
"Clacton Martello Tower","Clacton Beach Martello Tower",
"Cleethorpes and Humberston Fitties",Cleethorpes,
CLEVEDON BEACH,Clevedon Beach,
CLEVEDON BEACH,Clevedon Beach,
CLEVEDON BEACH,Clevedon Beach,
CLEVEDON BEACH,Clevedon Beach,
CLEVEDON BEACH,Clevedon Beach,
Cleveleys,Cleveleys,
COLWELL BAY,Colwell Bay,
COLWELL BAY,Colwell Bay,
"COLWELL BAY, TOTLAND BAY",Colwell Bay,"COLWELL BAY, TOTLAND BAY"
"COLWELL BAY, TOTLAND BAY",Colwell Bay,"COLWELL BAY, TOTLAND BAY"
